Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,08/11/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,65073.11,,
DEBIT,08/07/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,61052.83,,
DEBIT,08/02/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,61059.82,,
DEBIT,08/02/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2557.50,ACH_DEBIT,61060.77,,
CREDIT,07/31/2023,"INTEREST PAYMENT",0.96,MISC_CREDIT,63618.27,,
DEBIT,07/31/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,63617.31,,
CREDIT,07/28/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,63624.30,,
CREDIT,07/26/2023,"FRANCHISE TAX BD CASTTAXRFD                 PPD ID: 9282532045",1477.30,ACH_CREDIT,59604.02,,
DEBIT,07/24/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,58126.72,,
DEBIT,07/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,58133.71,,
DEBIT,07/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,58135.70,,
DEBIT,07/17/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-22.98,ACH_DEBIT,58138.69,,
CREDIT,07/14/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,58161.67,,
DEBIT,07/10/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,54141.39,,
DEBIT,07/05/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-19.99,ACH_DEBIT,54148.38,,
DEBIT,07/03/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,54168.37,,
DEBIT,07/03/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2557.50,ACH_DEBIT,54169.32,,
CREDIT,06/30/2023,"INTEREST PAYMENT",0.88,MISC_CREDIT,56726.82,,
CREDIT,06/30/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,56725.94,,
DEBIT,06/27/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-35.99,ACH_DEBIT,52705.66,,
DEBIT,06/26/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-59.99,ACH_DEBIT,52741.65,,
DEBIT,06/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,52801.64,,
DEBIT,06/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,52803.63,,
DEBIT,06/20/2023,"Payment to Chase card ending in 9870 06/20",-2000.00,LOAN_PMT,52806.62,,
CREDIT,06/20/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,54806.62,,
DEBIT,06/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-15.99,ACH_DEBIT,50786.34,,
DEBIT,06/12/2023,"Online Transfer to CHK ...3687 transaction#: 17591870687 06/12",-8000.00,ACCT_XFER,50802.33,,
DEBIT,06/05/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-59.99,ACH_DEBIT,58802.33,,
DEBIT,06/02/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,58862.32,,
DEBIT,06/02/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2557.50,ACH_DEBIT,58863.27,,
CREDIT,06/02/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,61420.77,,
CREDIT,05/31/2023,"INTEREST PAYMENT",0.97,MISC_CREDIT,57400.49,,
DEBIT,05/22/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,57399.52,,
DEBIT,05/22/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,57401.51,,
CREDIT,05/19/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,57404.50,,
DEBIT,05/16/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-15.99,ACH_DEBIT,53384.22,,
CREDIT,05/05/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,53400.21,,
DEBIT,05/02/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,49379.93,,
DEBIT,05/02/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2557.50,ACH_DEBIT,49380.88,,
CREDIT,04/28/2023,"INTEREST PAYMENT",0.73,MISC_CREDIT,51938.38,,
CREDIT,04/27/2023,"IRS  TREAS 310     TAX REF                  PPD ID: 9111736959",16.02,ACH_CREDIT,51937.65,,
DEBIT,04/25/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-0.99,ACH_DEBIT,51921.63,,
CREDIT,04/21/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,51922.62,,
DEBIT,04/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,47902.34,,
DEBIT,04/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,47904.33,,
DEBIT,04/17/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-15.99,ACH_DEBIT,47907.32,,
CREDIT,04/07/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,47923.31,,
DEBIT,04/04/2023,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,43903.03,,
DEBIT,04/04/2023,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2557.50,ACH_DEBIT,43903.98,,
CREDIT,03/31/2023,"INTEREST PAYMENT",0.73,MISC_CREDIT,46461.48,,
DEBIT,03/24/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-0.99,ACH_DEBIT,46460.75,,
CREDIT,03/24/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,46461.74,,
